,Unnamed: 0,brand,product_name,description,image,price
92,92,OOHA,柚子海鹽味汽水 ,500MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6006833_1.jpg?1643348106,29.0
93,93,聖沛黎洛,有氣橙菓汁 ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1037088_1.jpg?1587484708,38.0
94,94,C.C. LEMON,有氣檸檬味飲品 ,500MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002899_1.jpg?1591962348,31.5
97,97,HATA,波子汽水-蜜瓜味 ,200MLX2 ,https://image.ztore.com/images/ztore/production/product/368px/6003909_1.jpg?1597036439,21.9
99,99,玉泉,+C檸檬梳打 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1000666_1.jpg?1591183228,34.9
100,100,屈臣氏,蘇打水-青檸味 ,420MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1051825_1.jpg?1646119458,25.0
102,102,新奇士,有汽橙汁飲品 ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1044378_1.jpg?1617881896,22.9
103,103,元氣森林,氣泡水-王林青蘋果味 ,480MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6006290_1.jpg?1631780194,30.0
104,104,FEVER TREE,湯力水 ,200MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6004496_1.jpg?1605244484,35.0
106,106,屈臣氏,哥喇汽水 ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1045827_1.jpg?1625650660,19.9
107,107,OOHA,白桃烏龍茶味汽水 ,500MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6006835_1.jpg?1643348106,29.0
108,108,百事,百事可樂 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1000804_1.jpg?1638785810,29.9
109,109,賓得寶,薑啤 (包裝隨機) ,375MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6002895_1.jpg?1591962348,39.9
111,111,屈臣氏,蘇打水-混合口味 (派對裝) (紅綠顏色隨機發放) ,330MLX12 ,https://image.ztore.com/images/ztore/production/product/368px/8001809_1.jpg?1639629867,46.9
115,115,美粒果,蘋果梳打 ,500MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6007225_1.jpg?1648113470,25.0
116,116,FEVER TREE,薑味水 ,200MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6004493_1.jpg?1605244483,35.0
118,118,玉泉,+C檸檬梳打 ,500MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002912_1.jpg?1592209998,25.0
119,119,屈臣氏,礦物質氣泡水 ,320MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1052242_1.jpg?1649401589,24.9
120,120,屈臣氏,蘇打水-青檸味 ,420MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6002917_1.jpg?1592209999,22.9
121,121,HATA,波子汽水-菠蘿味 ,200MLX2 ,https://image.ztore.com/images/ztore/production/product/368px/6003910_1.jpg?1597036439,21.9
122,122,賓得寶,健怡薑啤 (包裝隨機) ,375MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6002896_1.jpg?1592391462,39.9
123,123,可口可樂,期間限定-超級任天堂世界紀念版可口可樂 [款式隨機1枝] ,250ML ,https://image.ztore.com/images/ztore/production/product/368px/1053765_1.jpg?1653473980,29.0
124,124,可口可樂,「可口可樂Starlight」無糖汽水 ,300MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6007235_1.jpg?1648471799,29.0
125,125,可口可樂,汽水 ,500MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002891_1.jpg?1633951223,25.0
126,126,iF,有氣椰青水 ,330MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1047084_1.jpg?1629952426,52.9
127,127,OOHA,荔枝乳酸味汽水(迷你罐) ,200MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1051134_1.jpg?1655290405,26.0
128,128,雪碧,檸檬青檸味汽水 ,2L ,https://image.ztore.com/images/ztore/production/product/368px/1000015_1.jpg?1589197465,14.9
131,131,賓得寶,番石榴梳打 ,375MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6004252_1.jpg?1600417205,48.0
133,133,SENAC,青蘋果味 ,750ML ,https://image.ztore.com/images/ztore/production/product/368px/1046427_1.jpg?1628863251,78.0
134,134,大西洋,蘋果西打 ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002903_1.jpg?1591962348,25.0
135,135,依維世,梳打水 ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002913_1.jpg?1592209998,15.9
136,136,可口可樂,無糖汽水 ,500MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002892_1.jpg?1631277807,25.0
137,137,屈臣氏,X Soda 荔枝馬天尼酒精風味蘇打水 ,265MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1045432_1.jpg?1623410100,32.9
138,138,屈臣氏,X Soda 椰林飄香酒精風味蘇打水 ,265MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1045431_1.jpg?1623410099,32.9
142,142,OOHA,荔枝乳酸味汽水 ,500MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6006831_1.jpg?1643348106,29.0
143,143,OOHA,試勻三款口味汽水套裝 ,500MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6006863_1.jpg?1643348106,29.0
144,144,泰象,梳打水 ,325MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002901_1.jpg?1591962348,21.9
146,146,美粒果,白提梳打 ,500MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6007223_1.jpg?1648113470,25.0
149,149,百事,百事可樂-無糖 (新舊包裝隨機發貨) ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6004672_1.jpg?1649848352,19.9
150,150,HATA,波子汽水-原味 ,200MLX2 ,https://image.ztore.com/images/ztore/production/product/368px/6003908_1.jpg?1597036439,21.9
151,151,賓得寶,蜜桃梳打 ,375MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6004253_1.jpg?1600417205,48.0
152,152,FEVER TREE,湯力水(輕怡) ,200MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6004494_1.jpg?1605244483,35.0
156,156,屈臣氏,蘇打水-韓國柚子桂花味 ,420MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6007303_1.jpg?1651828032,24.9
159,159,美粒果,試勻2款口味梳打 ,500MLX2 ,https://image.ztore.com/images/ztore/production/product/368px/6007262_1.jpg?1648787699,20.0
160,160,賓得寶,青檸梳打 ,375MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6002910_1.jpg?1592209998,39.9
161,161,SENAC,白提子味 ,750ML ,https://image.ztore.com/images/ztore/production/product/368px/1046424_1.jpg?1628863250,78.0
162,162,可口可樂,加系-膳食纖維無糖汽水(款式隨機) ,500MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002904_1.jpg?1623310556,28.0
164,164,屈臣氏,蘇打水-青檸味 ,420MLX4X6 ,https://image.ztore.com/images/ztore/production/product/368px/6007097_1.jpg?1646635365,139.0
166,166,雪碧,檸檬青檸味汽水 ,500MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002893_1.jpg?1591962349,25.0
168,168,HATA,波子汽水-士多啤梨味 ,200MLX2 ,https://image.ztore.com/images/ztore/production/product/368px/6003912_1.jpg?1597036439,21.9
169,169,HATA,波子汽水-乳酪味 ,200MLX2 ,https://image.ztore.com/images/ztore/production/product/368px/6003915_1.jpg?1597036439,21.9
170,170,HATA,波子汽水-柚子味 ,200MLX2 ,https://image.ztore.com/images/ztore/production/product/368px/6003914_1.jpg?1597036439,21.9
171,171,賓得寶,沙示梳打 ,375MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6002897_1.jpg?1592209998,39.9
172,172,可口可樂,汽水 ,1.25LX2 ,https://image.ztore.com/images/ztore/production/product/368px/6003581_1.jpg?1594813972,22.0
173,173,可口可樂,汽水 ,2L ,https://image.ztore.com/images/ztore/production/product/368px/1000253_1.jpg?1633951222,14.9
174,174,可口可樂,橙味汽水 ,2L ,https://image.ztore.com/images/ztore/production/product/368px/1030049_1.jpg?1585731529,14.9
177,177,屈臣氏,混合裝-蘇打水和莫希托味蘇打水 ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1040736_1.jpg?1602043792,17.9
179,179,屈臣氏,蘇打水-青檸味 ,420ML ,https://image.ztore.com/images/ztore/production/product/368px/1036264_1.jpg?1582900933,10.9
181,181,屈臣氏,蘇打水-沖繩酸橘子味 ,420MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1044151_1.jpg?1616493220,25.0
184,184,楊協成,梳打水 ,325MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002906_1.jpg?1616761152,21.9
185,185,雪碧,檸檬青檸味汽水 ,1.25LX2 ,https://image.ztore.com/images/ztore/production/product/368px/6003580_1.jpg?1594813972,22.0
186,186,雪碧,無糖青檸味汽水 ,500MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6007354_1.jpg?1651230307,25.0
189,189,JAMES SQUIRE,薑汁啤酒 ,330ML ,https://image.ztore.com/images/ztore/production/product/368px/1048926_1.jpg?1636619482,18.9
191,191,綠茶園,西瓜薄荷蘇打水 ,12GX14 ,https://image.ztore.com/images/ztore/production/product/368px/1046774_1.jpg?1631277812,36.4
192,192,HARTRIDGES,湯力水-西柚味 ,200ML ,https://image.ztore.com/images/ztore/production/product/368px/1046990_1.jpg?1630507567,15.0
193,193,HARTRIDGES,湯力水-經典 ,200ML ,https://image.ztore.com/images/ztore/production/product/368px/1046992_1.jpg?1630507568,15.0
194,194,HARTRIDGES,湯力水-輕怡 ,200ML ,https://image.ztore.com/images/ztore/production/product/368px/1046993_1.jpg?1630507568,15.0
195,195,LOGON,膳食氣泡飲-檸檬味 ,70G ,https://image.ztore.com/images/ztore/production/product/368px/1047091_1.jpg?1631780173,35.0
196,196,Le Tribute,薑味啤酒 ,200ML ,https://image.ztore.com/images/ztore/production/product/368px/1052084_1.jpg?1646977170,28.0
197,197,SUMMER HOUSE,蘇格蘭天然傳統紅桑子檸檬汽水 ,250ML ,https://image.ztore.com/images/ztore/production/product/368px/1046120_1.jpg?1627639254,28.0
198,198,SUMMER HOUSE,蘇格蘭天然傳統香橙檸檬汽水 ,250ML ,https://image.ztore.com/images/ztore/production/product/368px/1046122_1.jpg?1627639255,28.0
199,199,SUMMER HOUSE,蘇格蘭天然傳統薄荷檸檬汽水 ,250ML ,https://image.ztore.com/images/ztore/production/product/368px/1046119_1.jpg?1627639255,28.0
201,201,新奇士,咸檸檬果凍汽水 ,300MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1040445_1.jpg?1601457603,25.0
202,202,元氣森林,氣泡水-白桃味 ,480MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6006287_1.jpg?1631780193,30.0
203,203,屈臣氏,白檸汽水 ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1045828_1.jpg?1625650659,19.9
204,204,可口可樂,加系膳食纖維無糖汽水 迷你罐 ,200MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1051788_1.jpg?1646897589,26.0
208,208,屈臣氏,蘇打水-青森紅蘋果味 ,420ML ,https://image.ztore.com/images/ztore/production/product/368px/1047935_1.jpg?1632890564,15.9
210,210,屈臣氏,蘇打水-荔枝味 ,420MLX3 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",22.9
211,211,屈臣氏,蘇打水-乳酸味 ,420MLX4 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",25.0
212,212,屈臣氏,蘇打水-青森紅蘋果味 ,420MLX4 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",24.9
213,213,屈臣氏,蘇打水-乳酸味 ,420MLX4X6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",139.0
214,214,OOHA,柚子海鹽味汽水(迷你罐) ,200MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",39.0
216,216,ASAHI朝日,CALPIS乳酸梳打水 ,350MLX3 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",20.0
219,219,元氣森林,氣泡水-卡曼橘味 ,480MLX3 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",30.0
220,220,元氣森林,氣泡水-乳酸菌味 ,480MLX3 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",30.0
221,221,FEVER TREE,薑啤 ,200MLX3 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",35.0
222,222,Le Tribute,薑味汽水 ,200ML ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",28.0
223,223,可爾必思,吸吸乳酸菌飲料 ,300G ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",10.5
