,product_name,description,image,price
56,樂天 - 忌廉溝鮮奶-原箱 (新舊包裝隨機發送) ,250MLX6X5 ,https://image.ztore.com/images/ztore/production/product/368px/8000371_1.jpg?1564451069,$99
57,可口可樂 - 加系-膳食纖維無糖汽水-高罐裝(款式隨機) ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1045056_1.jpg?1623310542,$17
58,玉泉 - 西柚汽水-原箱 ,330MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/8000280_1.jpg?1568086748,$85
59,玉泉 - 零系忌廉-原箱 ,330MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/6003750_1.jpg?1632979891,$85
60,聖沛黎洛 - 有氣檸檬菓汁 ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1037325_1.jpg?1589168615,$38
61,玉泉 - 迷你罐-有汽檸檬水 ,200MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1037285_1.jpg?1591150871,$25
62,OOHA - 白桃烏龍茶味汽水(迷你罐) ,200MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1051131_1.jpg?1655290404,$26
63,賓得寶 (平行進口) - 健怡青檸梳打 ,4'S ,https://image.ztore.com/images/ztore/production/product/368px/1034021_1.jpg?1570155294,$41.9
64,百事 - 百事可樂-無糖-原箱 (新舊包裝隨機發貨) ,330MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/6004673_1.jpg?1649848352,$86.7
65,OOHA - 荔枝乳酸味汽水 - 原箱 ,330MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/8001839_1.jpg?1643345126,$104
66,可口可樂 - 加系-膳食纖維無糖汽水 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1020583_1.jpg?1620624268,$35.9
67,七喜 - 汽水-原箱 ,330MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/8000469_1.jpg?1553157630,$86.7
68,玉泉 - 梳打水迷你罐(原箱) ,200MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/8001269_1.jpg?1558667277,$91.2
69,玉泉 - 西柚汽水 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1000169_1.jpg?1568361180,$34.9
70,勝獅 - 梳打水 ,325MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6001705_1.jpg?1567422441,$21.9
71,VITA 維他 - 氣泡檸檬茶(罐裝) - 原箱 ,310MLX6X4 ,https://image.ztore.com/images/ztore/production/product/368px/6005734_1.jpg?1622022464,$100
72,玉泉 - 乾薑味汽水迷你罐-原箱 ,200MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/8001272_1.jpg?1558667278,$91.2
73,七喜 - 健怡汽水 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1000178_1.jpg?1475573574,$29.9
74,SENAC - 0%無酒精果味香檳 - 水蜜桃味 ,750ML ,https://image.ztore.com/images/ztore/production/product/368px/1046426_1.jpg?1628863250,$78
75,玉泉 - 有氣辣薑啤飲品(薑味)迷你罐 ,200MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1029527_1.jpg?1559567267,$27
76,玉泉 - 乾薑味汽水迷你罐 ,200MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1029528_1.jpg?1559567267,$27
77,屈臣氏 - 湯力汽水 - 原箱 ,330MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/8000892_1.jpg?1553157637,$81
78,OOHA - 柚子海鹽味汽水(迷你罐) - 原箱 ,200MLX6X4 ,https://image.ztore.com/images/ztore/production/product/368px/6006843_1.jpg?1643345125,$90
79,JOLLY SHANDY樂怡仙地 - 碳酸酒精飲品-檸檬味 ,330MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1003106_1.jpg?1478518154,$24.9
80,可口可樂 - 無糖汽水 ,1.25LX2 ,https://image.ztore.com/images/ztore/production/product/368px/6003579_1.jpg?1600146821,$22
81,OOHA - 白桃烏龍茶味汽水 - 原箱 ,500MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/6006836_1.jpg?1643348106,$188
82,雪碧 - 無糖青檸味汽水 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1053171_1.jpg?1651230305,$34.9
83,芬達 - 提子味汽水-原箱 ,330MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/8000277_1.jpg?1644233739,$85
84,芬達 - 橙汁汽水 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1000161_1.jpg?1649848351,$34.9
85,玉泉 - 零系忌廉 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1030165_1.jpg?1632979891,$34.9
86,玉泉 - 忌廉 ,500MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002890_1.jpg?1629950763,$25
87,雪碧 - 檸檬青檸味汽水 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1000160_1.jpg?1583926765,$34.9
88,芬達 - 橙味汽水迷你罐(原箱) ,200MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/8001268_1.jpg?1649848352,$84
89,玉泉(平行進口) - 泰國限定青檸梳打-原箱 (新舊包裝隨機發送) ,330MLX6X4 ,https://image.ztore.com/images/ztore/production/product/368px/6002228_1.jpg?1574423217,$129
90,可口可樂 - 加系-膳食纖維無糖汽水 - 原箱(款式隨機) ,500MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/6007591_1.jpg?1656650777,$132
91,屈臣氏 - 湯力水 ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1030713_1.jpg?1659330093,$17.9
92,OOHA - 柚子海鹽味汽水 ,500MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6006833_1.jpg?1643348106,$29
93,聖沛黎洛 - 有氣橙菓汁 ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1037088_1.jpg?1587484708,$38
94,C.C. LEMON - 有氣檸檬味飲品 ,500MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002899_1.jpg?1591962348,$31.5
95,玉泉 - 忌廉味汽水迷你罐(原箱) ,200MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/8001267_1.jpg?1629950764,$84
96,七喜 - 健怡汽水-原箱 ,330MLX8X3 ,https://image.ztore.com/images/ztore/production/product/368px/6005933_1.jpg?1624362627,$72.5
97,HATA - 波子汽水-蜜瓜味 ,200MLX2 ,https://image.ztore.com/images/ztore/production/product/368px/6003909_1.jpg?1597036439,$21.9
98,玉泉 - 有氣辣薑啤飲品(薑味)迷你罐(原箱) ,200MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/8001271_1.jpg?1558667278,$91.2
99,玉泉 - +C檸檬梳打 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1000666_1.jpg?1591183228,$34.9
100,屈臣氏 - 蘇打水-青檸味 ,420MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1051825_1.jpg?1646119458,$25
101,OOHA - 柚子海鹽味汽水 - 原箱 ,500MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/6006834_1.jpg?1643348106,$188
102,新奇士 - 有汽橙汁飲品 ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1044378_1.jpg?1617881896,$22.9
103,元氣森林 - 氣泡水-王林青蘋果味 ,480MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6006290_1.jpg?1631780194,$30
104,FEVER TREE - 湯力水 ,200MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6004496_1.jpg?1605244484,$35
105,可口可樂 - 「可口可樂Starlight」無糖汽水 -原箱 ,300MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/6007236_1.jpg?1648471799,$169
106,屈臣氏 - 哥喇汽水 ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1045827_1.jpg?1625650660,$19.9
107,OOHA - 白桃烏龍茶味汽水 ,500MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6006835_1.jpg?1643348106,$29
108,百事 - 百事可樂 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1000804_1.jpg?1638785810,$29.9
109,賓得寶 - 薑啤 (包裝隨機) ,375MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6002895_1.jpg?1591962348,$39.9
110,玉泉 - 湯力水迷你罐(原箱) ,200MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/8001270_1.jpg?1558667278,$91.2
111,屈臣氏 - 蘇打水-混合口味 (派對裝) (紅綠顏色隨機發放) ,330MLX12 ,https://image.ztore.com/images/ztore/production/product/368px/8001809_1.jpg?1639629867,$46.9
112,OOHA - 白桃烏龍茶味汽水(迷你罐) - 原箱 ,200MLX6X4 ,https://image.ztore.com/images/ztore/production/product/368px/6006844_1.jpg?1643345126,$90
113,OOHA - 荔枝乳酸味汽水 - 原箱 ,500MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/6006832_1.jpg?1643348106,$188
114,勝獅 - 柚子檸檬味梳打水-原箱 ,330MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/8001893_1.jpg?1657010082,$158
115,美粒果 - 蘋果梳打 ,500MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6007225_1.jpg?1648113470,$25
116,FEVER TREE - 薑味水 ,200MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6004493_1.jpg?1605244483,$35
117,樂天 - 檸七-原箱 ,250MLX6X5 ,https://image.ztore.com/images/ztore/production/product/368px/8000370_1.jpg?1625733191,$99
118,玉泉 - +C檸檬梳打 ,500MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002912_1.jpg?1592209998,$25
119,屈臣氏 - 礦物質氣泡水 ,320MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1052242_1.jpg?1649401589,$24.9
120,屈臣氏 - 蘇打水-青檸味 ,420MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6002917_1.jpg?1592209999,$22.9
121,HATA - 波子汽水-菠蘿味 ,200MLX2 ,https://image.ztore.com/images/ztore/production/product/368px/6003910_1.jpg?1597036439,$21.9
122,賓得寶 - 健怡薑啤 (包裝隨機) ,375MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6002896_1.jpg?1592391462,$39.9
123,可口可樂 - 期間限定-超級任天堂世界紀念版可口可樂 [款式隨機1枝] ,250ML ,https://image.ztore.com/images/ztore/production/product/368px/1053765_1.jpg?1653473980,$29
124,可口可樂 - 「可口可樂Starlight」無糖汽水 ,300MLX3 ,https://image.ztore.com/images/ztore/production/product/368px/6007235_1.jpg?1648471799,$29
